Title,Description,URL,Published At,Source
"Switch, Xbox, and the portable future of games","The Switch 2 is a hit (and a supply chain success story). Microsoft is starting to show off its plan for the future of Xbox. And everywhere you look, there are reasons to think we're headed toward a very different kind of gaming device. Maybe it'll be even mo…",https://www.theverge.com/the-vergecast/686637/switch-2-xbox-ally-portable-gaming-vergecast,2025-06-13T13:28:22Z,The Verge
6 Short-Term Strategies for Doing Business in a Trade War,Supply chain experts share practical ways companies are already adapting to tariffs and other volatile conditions.,https://hbr.org/2025/06/6-short-term-strategies-for-doing-business-in-a-trade-war,2025-06-10T13:00:00Z,Harvard Business Review
Why Americans can still expect higher prices even after Trump temporarily lowered tariffs on China,"President Donald Trump's trade truce with China temporarily lowers tariffs, but supply chain experts told BI to expect persistent price hikes.",https://www.businessinsider.com/continued-supply-chain-problems-despite-trump-trade-deal-china-experts-2025-5,2025-05-16T23:01:27Z,Business Insider
Urban Outfitters is changing its timeline for fall fashion because of Trump's tariffs,"Urban Outfitters said it will bring fall products in earlier this year, to circumvent any future supply chain issues caused by Trump's tariffs.",https://www.businessinsider.com/urban-outfitters-changing-timeline-for-fall-fashion-because-of-tariffs-2025-5,2025-05-22T06:15:09Z,Business Insider
China is flexing its supply chain muscles — and the auto industry is freaking out,Automakers and parts suppliers are shifting supply chains and warning of production shutdowns amid a Chinese crackdown on rare earth metals and magnets.,https://www.businessinsider.com/china-rare-earth-restrictions-alarming-auto-industry-ford-bmw-tesla-2025-6,2025-06-05T14:14:22Z,Business Insider
"Thanks, Trump tariffs, now I gotta replace my phone battery","After five years, I was still happy with my phone, even though its battery had started the inevitable process of slowing to a stop. But Donald Trump's tariff nonsense pushed me to make a decision: buy a new phone or fix the old one now, before the prices go u…",https://www.theverge.com/apple/667904/trump-tariff-iphone-shortage-battery-repair,2025-05-15T20:02:59Z,The Verge
"Fake discounts on Shein 'breach law', EU says","Shein has one month to respond to the EU's findings or face fines based on its sales, the bloc has said.",https://www.bbc.com/news/articles/c62vq1mnndno,2025-05-26T16:35:06Z,BBC News
The secretive US factory that lays bare the contradiction in Trump's America First plan,An exclusive look inside the closely guarded factory Trump wants to become a foundation stone for his American golden age. But the company story exemplifies the success of modern globalisation,https://www.bbc.com/news/articles/cwywj0zgzwxo,2025-05-18T21:55:21Z,BBC News
Battery Recyclers Don’t Know How to Respond to Trump’s Clean Energy Reversal,"The president hasn't directly targeted the nascent industry, but his clean energy rollbacks could hurt it.",https://gizmodo.com/battery-recyclers-dont-know-how-to-respond-to-trumps-clean-energy-reversal-2000613768,2025-06-10T19:10:31Z,Gizmodo.com
This logistics startup is getting 'buried in inbound' from brands after de minimis ended. It just raised $18 million.,"Logistics startup Portless secures $18 million in Series A funding amid tariff changes, offering Western brands a Shein-inspired shipping model.",https://www.businessinsider.com/portless-raises-vc-funding-de-minimis-end-drives-logistics-demand-2025-5,2025-05-29T09:00:02Z,Business Insider
"To avoid product shortages, big retailers are scrapping reactive methods for AI","AI is enabling big-box stores like The Home Depot, Walmart, and Target to prevent product shortages by forecasting demand.",https://www.businessinsider.com/walmart-target-use-ai-to-prevent-inventory-shortages-2025-6,2025-06-03T14:24:25Z,Business Insider
Chinese iPhone Shipments to US Plunge to 2011 Lows Amid Trade Tensions,"Chinese shipments of iPhones and other mobile devices to the United States dropped dramatically in April, hitting their lowest levels since 2011, according to newly released customs data (via Bloomberg).





Smartphone exports from China to the US plummeted …",https://www.macrumors.com/2025/05/20/chinese-iphone-shipments-us-2011-lows/,2025-05-20T10:41:38Z,MacRumors
"Feds Charge 16 Russians Allegedly Tied to Botnets Used in Ransomware, Cyberattacks, and Spying","A new US indictment against a group of Russian nationals offers a clear example of how, authorities say, a single malware operation can enable both criminal and state-sponsored hacking.",https://www.wired.com/story/us-charges-16-russians-danabot-malware/,2025-05-22T19:56:44Z,Wired
"Leaker shares new iPhone 17 Air details: Impressive weight, lackluster battery","In a new post on Naver, smartphone supply chain leaker yeux1122 has shared two new details regarding Apple’s upcoming iPhone 17 Air: its battery capacity and weight.



 more…",https://9to5mac.com/2025/05/17/iphone-17-air-new-leak-battery-weight-details/,2025-05-17T16:11:49Z,9to5Mac
"India plans rare earth magnet incentives as supply threat mounts, sources say",NEW DELHI (Reuters) -India is holding talks with companies to establish long-term stockpiles of rare earth magnets by offering fiscal incentives for domestic...,https://sg.finance.yahoo.com/news/india-plans-rare-earth-magnet-105638448.html,2025-06-05T10:56:38Z,Yahoo Entertainment
Five Ways Companies Learn to Thrive in an Unpredictable World - SPONSOR CONTENT FROM EY-PARTHENON,Sponsor content from EY-Parthenon.,https://hbr.org/sponsored/2025/05/five-ways-companies-learn-to-thrive-in-an-unpredictable-world,2025-06-11T19:24:24Z,Harvard Business Review
Trump Threatens His ‘Friend’ Tim Cook With 25% iPhone Tariff If Apple Doesn’t Move Production to U.S.,A series of shifting and often contradictory tariff policies have left a mess in their wake. Will Trump actually stick to this threat?,https://gizmodo.com/trump-threatens-apple-with-25-tariff-on-iphones-produced-outside-the-u-s-2000606513,2025-05-23T17:39:27Z,Gizmodo.com
Analysis-The world's auto supply chain is in the hands of a few Chinese bureaucrats,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_15e2b215-d633-4e82-8101-3fac9eefa268,2025-06-05T14:05:30Z,Yahoo Entertainment
Amazon CEO: No 'Meaningful' Price Increases Yet on the Products You're Buying,Andy Jassy says the retailer so far hasn't seen a sales slump or any significant increase in price averages.,https://www.cnet.com/personal-finance/amazon-ceo-no-meaningful-price-increases-yet-on-the-products-youre-buying/,2025-05-22T14:55:59Z,CNET
"Steam Deck OLED falls out of stock in US & Canada due to ""supply chain constraints"" presumably triggered by tariffs — but the price won't increase","Steam Deck OLED models are out of stock in the US and Canada due to supply chain and tariff challenges, with restock expected by end of summer 2025.",https://www.windowscentral.com/gaming/steam-deck-oled-out-of-stock,2025-06-12T12:54:48Z,Windows Central
Kuo: Apple Better Off Taking 25% Tariff Hit Than Move iPhone Production to US,"It would be more financially viable for Apple to absorb a 25% import tariff on iPhones sold in the United States than to relocate its assembly operations to the U.S., Apple analyst Ming-Chi Kuo today said.





Kuo, a respected analyst with a long track recor…",https://www.macrumors.com/2025/05/23/apple-better-off-taking-tariff-hit/,2025-05-23T16:06:24Z,MacRumors
France to open high-security prison in Amazon jungle,The €400 million high-security jail will be built in France's overseas region of French Guiana in South America.,https://www.bbc.com/news/articles/c7v7n81emy3o,2025-05-19T10:32:22Z,BBC News
Meta faces Democratic probe into plans to power a giant data center with gas,"Meta’s building a new AI data center so massive in Louisiana that the local utility company has plans to construct three new gas-fired power plants to provide it with enough electricity. Now, advocates and lawmakers are pressing Meta for answers about how it’…",https://www.theverge.com/news/668934/meta-ai-data-center-gas-energy-climate-sustainability,2025-05-17T00:04:09Z,The Verge
The New York Times Digs in on the ‘Young Chinese Women Have Small Fingers’ Claim,like I dunno maybe if you are going to state something weird and racial about half the population of a country of 1.4 billion people you should have… a (?) source ? ??,https://bsky.app/profile/joolia.bsky.social/post/3lpw5thw4e22f,2025-05-26T22:20:56Z,Bsky.app
